thams cad|all (literary)\nsee also {kun}, {yod tshad}, {yod do cog}, {tshang ma}, {tshang ma log}, {cha tshang}, {gang ga}, {gang ga log}, {gang yod}, {ji yod}
yod do cog|all (literary)\n({go cog} is a dependent particle)\nsee also {kun}, {thams cad}, {yod tshad}, {tshang ma}, {tshang ma log}, {cha tshang}, {gang ga}, {gang ga log}, {gang yod}, {ji yod}
tshang ma|all (colloquial)\nsee also {kun}, {thams cad}, {yod do cog}, {yod tshad}, {tshang ma log}, {cha tshang}, {gang ga}, {gang ga log}, {gang yod}, {ji yod}
tshang ma log|all (very colloquial — {log} has no specific written form; this is just one convention for spelling it)\nsee also {kun}, {thams cad}, {yod do cog}, {tshang ma}, {yod tshad}, {cha tshang}, {gang ga}, {gang ga log}, {gang yod}, {ji yod}
brtsi bkur byed|to esteem, to respect
gtsang ma bzo|to clean\nsee also {gtsang bzo byed}
gtsang bzo byed|to clean\nsee also {gtsang ma bzo}
lam bzang|Lamsang (a name)
gces nyar srog chags|a pet
sge'u khung rgyag|to close the window
sge'u khung dbye|to open the window
'gul skyod gtong|to move\nsee also {'gul skyod byed}, {'gul skyod rgyag}
bros 'gro|to flee, to run away, to escape
grags 'gul|noise and movement\ne.g. {grags 'gul ci yang med par} “without any noise or movement”
brda lan sprod|to answer, to respond\nsee also {lan rgyag}
khu sim me|quiet\n({khu} + {sim} + {ge} + {ra})\n({khu} is a cranberry morpheme here)\nsee also {khu sim po}
lan rgyag|to answer, to respond\nsee also {brda lan sprod}
sgra grags|to make a sound\n(e.g. said of a squirrel)
brda ston|to signal, to send a signal
nam lang|to dawn\ne.g. {zhogs pa nam ma langs bar/} “until morning dawned”
gnyis las dkrog|to disturb someone from their sleep
kha bral gtong|to separate
tag tag|1) exact\n2) only\n3) onomatopoeia for knocking on a door\n4) good (?) (e.g. {ma bu kha bral ma btang na tag tag yin/})
rgyang lta byed|to look from afar
lhan 'dzoms byung|to unite (intrans.), to come together
dbar|between\n(not specifically Amdo dialect — this is commonly used in writing in Utsang dialect)\nsee also {bar}
dga' tshor skye|to feel joy
sba lan|sweater
gad snyigs sgrug|to pick up trash
lcags hrug|metal scrap (e.g. in trash)
'gyig|plastic, rubber\n(in everyday speech, Tibetan doesn’t make a firm distinction between the two)
grangs ka brtsi|to count
cha tshang|all\n(applied to uncountable nouns)\nsee also {kun}, {thams cad}, {yod do cog}, {yod tshad}, {tshang ma}, {tshang ma log}
chu rka la|faucet (?)
khrus rgyag|to give a wash, to wash
sdug skad rgyag|to complain
g.yon|left\n(note: this appears to be etymologically related to {g.yo}, meaning “to be unsteady” or “to be unstable” or “to fluctuate”. cf. Latin “sinister”)
'gan bdag|class monitor (cf. {rgan bdag})
skye dngos rig pa|biology
rgyus lon byed|to understand
phra phung|cell
grub cha can|X {gi grub cha can/} = that which is composed of X, that which is constituted by X
bkol spyod byed|to use\nsee also {bed spyod byed}, {bed spyod btang}
bed spyod byed|to use\nsee also {bkol spyod byed}, {bed spyod btang}
bed spyod btang|to use\nsee also {bkol spyod byed}, {bed spyod byed}
ya lan byed|to respond\nsee also {ya lan sbyin}
ya lan sbyin|to respond\nsee also {ya lan byed}
skul rkyen|stimulus
bstun 'gyur|metabolism
tha mal nas bab bzung ba|homeostasis
snyigs rdzas phyir 'don|excretion, getting rid of waste products (biology)
bkod dbyibs|a structure (e.g. in a cell)
phra phung skyi mo|cell membrane
sgol gzugs|Golgi body / Golgi apparatus
lte snying|nucleus (of a cell)\nFor the nucleus of an atom, see {lte rdul}.
