ཀ་ཁ་|alphabet
གསོད་|(TR) to kill\nv1 གསོད་ v2 བསད་ v3 གསད་ v4 སོད་
བསད་|see གསོད་
གསད་|see གསོད་
སོད་|see གསོད་
གསོན་མཆད་ཟླུམ་པོ་|(PN) Gson-mčhad-zlum-po, name of a grave
གསོན་པོ་|(A) alive
གསོན་པོར་|(Adv) alive
གསོལ་|(HML; TR) 1) to request; 2) to speak
གསོལ་བ་|request
བསགས་|see གསོག་
བསད་|see གསོད་
བསམ་|thought
བསམ་པ་|thought
བསམས་|see སེམས་
བསུ་|(TR) to join\nv1 བསུ་ v2 བསུས་ v3 བསུ་ v4 བསུས་
བསུས་|see བསུ་
བསུས་|see བསུ་
བསོ་|see གསོ་
བསོད་སྙོམས་|alms
བསོད་ནམས་|virtue, merit
བསྲུང་|see སྲུང་
བསྲུངས་|see སྲུང་
བསྲེགས་|see སྲེག་
བསླང་|see སློང་
བསླངས་|see སློང་
བསླབ་|see སློབ་
བསླབས་|see སློབ་
བསླུས་|see སླུ་

ཧ་ཅང་|very
ཧར་|suddenly
ཧྲུལ་བ་|tattered
ལྷ་|1) deity; 2) lord
ལྷ་ཆེན་པོ་|(PN) Lha-čhen-po
ལྷ་ཐོ་ཐོ་རི་སྙན་ཤལ་|(PN) Lha-tho-tho-ri-sñan-śal
ལྷ་མ་ཡིན་|semi-god
ལྷ་མོ་|1) goddess; 2) queen
ལྷ་རི་རོལ་པོ་|(PN) Lha-ri-rol-po, a mountain
ལྷ་སྲས་|divine son, son of the gods
ལྷག་|the rest, remains
ལྷག་པར་|more
ལྷག་ལུས་|the rest, remains
ལྷག་མ་|remnant
ལྷགས་|(INTR) to come together
ལྷན་དུ་|at the same time
ལྷབ་ལྷུབ་|wide, flowing
ལྷམ་|shoe
ལྷུ་|minor share
ལྷུང་|see ལྟུང་
ལྷུང་བཟེད་|alms-bowl
ལྷུབ་|width

ཨ་ཁུ་|paternal uncle
ཨ་ནེ་|aunt
ཨ་མ་|mother
ཨ་ཞང་|maternal uncle
ཨ་ཤོ་ལེགས་|(PN) Qa-śo-legs
ཨི་ཤོ་ལེགས་|(PN) Qi-śo-legs
