ka kha 	alphabet
nyams thag 	(INTR) to be exhausted
nyal 	(INTR) to lie down
nyi dkyil 	solar disc
nyi ma 	sun
nyi shu rtsa bdun 	twenty-seven
nyid 	1) the very; 2) self; 3) alone
nyid du 	as such
nyin 	day
nyin par 	during the day
nyil le 	dangling
nyung 	(to be) few
nye 	(INTR) to be near
nye 'khor 	kindreds
nye ring 	near and distant
nyen 	(INTR) to be pained
nyes 	(INTR) 1) to be hurt; 2) to be bad; 3) to make a mistake
nyes pa 	1) moral fault; 2) evil, offence; calamity
nyo  v2/v4 {nyos}	(TR) to buy
nyon 	see nyan 
nyon mongs pa 	misery, trouble
gnyan 	argali
gnya' ({ba})	neck
gnya' khri btsan po 	(PN) Gñaɣ-khri-bcan-po
gnya' shing 	yoke
gnyid 	dream
gnyis 	two
gnyis ka 	a pair, couple
gnyis pa 	second
gnyis su na 	secondly
gnyen 	(N) relative
gnyen nye 'brel 	(N) relative
gnyen po gsang ba 	(PN) Secret Gñen-po, name of a tutelary deity
gnyen tshan 	relatives
gnyen bshes 	relatives and friends
gnyer 	(TR) to take care
gnyer kha  	attention, care
mnyan du yod pa 	(PN) Mñan-du-yod-pa (also Mñan-yod), Indian town Śrāvasti
mnyan yod 	see mnyan du yod pa 
rnying ma pa 	(PN) Rñiṅ-ma-pa, a school of Tibetan Buddhism
rnyed  v2/v3 {brnyed} / {brnyes}	(TR) 1) to find; 2) to obtain; {dbu rnyed} to introduce
rnyog pa 	whirlpool
snyad  v2/v3 {bsnyad} v4 {snyod}	(TR) to tell, to relate
snyan 	(HON for {rna ba}) ear
snyan pa 	pleasant, well-sounding
snyam 	1) to think; 2) thought
snying rje 	compassion
snying rje ba 	compassionate
snying stobs 	courage
snying po 	quintessence, the main substance
snying brtse ba 	loving, kind
snyung 	illness
snyun 	disease, illness
snyed 	(DET) about; see also de snyed 
snyod  v2/v3 {bsnyod}	(TR) to feed
snyol  v2 {bsnyal}	(TR) to lay down
brnya  v2 {brnyas}	(TR) to borrow
brnyas 	see brnya 
brnyes 	see rnyed 
bsnyad 	see snyad 
bsnyal 	see snyol 
bsnyod 	see snyod 

ting nge 'dzin 	contemplation (Skt. samādhi)
gtang 	see gtong 
gtad 	see gtod 
gtam 	1) rumour; 2) speech
gtam dpe 	proverb
gtam tshig 	words
gti mug 	ignorance
gting 	1) bottom; 2) depth
gtum pa 	(to be) hot-tempered; furious
gter 	1) treasury; 2) tresure
gter kha 	mine
gtog  v2 {gtogs}	{se gol gtog} to snap one’s fingers
gtong  v2 {btang} v3 {gtang} v4 {thong}	(TR) 1) to let go, to send; 2) to give away, to give; 3) to abandon, to leave; 4) to let; 5) to set free; {mthu gtong} to cast spells; {bag mar gtong} to give in marriage; {g.yar gtong} to loan; {sems gso gtong} to console
gtod  v2/v3 {gtad} v4 {thod}	(TR) 1) to direct, to turn, to point (towards + DAT); 2) to deliver up
gtor 	(TR) to scatter
gtor ma 	strewing-oblation
btags 	see 'dogs 
btang 	see gtong 
btab 	see 'debs 
bting 	see 'ding 
btul 	see 'dul 
bteg 	see {'deg}({sa}) 
bton 	see 'don 
rta 	horse
rta bdag 	horse-owner
rta pa 	horseman
rta rdzi 	horse-keeper
rtag tu 	always
rtag pa 	1) lasting, durable; 2) permanence
rting du 	(Adv) later
rting la 	1) (Postp) after (+ GEN); 2) (Adv) later
rting sor 	(Adv) later
rte'u  	foal
rtog  v2 {brtags} v3 {brtag} v4 {rtog}({sa}){}	(TR) to consider, to examine
rtogs 	(TR) to perceive, to apprehend
lta  v2 {bltas} v3 {blta} v4 {ltos}	(TR) to look (at / towards + DAT), to inspect, to examine
lta ci smos 	how much less, not to mention, to say nothing of (+ ABS)
lta bu 	thus
lta bur 	like
ltar 	(Postp) like, as (+ ABS)
ltung  v2 {lhung}	(INTR) to fall
lte ba 	navel
lto 	food
ltogs gri 	hunger
ltogs pa 	hungry
stag 	tiger
stag gi ri 	(PN) Stag-gi-ri
stag phrug 	tiger cub
stag mo 	tigress
stag gzig 'ol mo 	(PN) Stag-gzigs-ɣol-mo, a legendary country
stag ri gnyan gzigs 	(PN) Stag-ri-gñan-gzigs
stan 	mat; seat
steng 	top, surface
steng 	(PN) Steṅ, name of a Tibetan dynasty
steng khang 	upper story
steng du 	1) (Postp) above, on(to) (+ GEN); 2) (Adv) up
steng nas 	(Postp) from (+ GEN)
ste'u 	axe
ster  v2/v3 {bster}	(TR) 1) to allow (to + TERM); 2) to give
stong 	thousand
stong pa nyid 	voidness
stong rtsan 	(PN) Stoṅ-rcan
stod 	higher sphere
stod  v2/v3 {bstod} v4 {stod}	(TR) to praise
ston  v2/v3 {bstan} v4 {ston}	(TR) 1) to teach, to explain; 2) to show, to display; {lung ston} to predict
ston gral 	feast-row
ston thog 	harvest
ston pa 	teacher
ston mo 	feast
stobs 	strength
stobs kyis 	(Postp) due to, because of (+ GEN)
stobs ldan 	strong, powerful
stor 	(INTR) to get lost
brtag pa 	investigation
brtags 	see rtog 
brtan pa 	steadfast
blta 	see lta 
bltas 	see lta 
bstan 	see ston 
bstan bcos 	treatise
bstan pa 	(Buddhist) teaching
bstod 	see stod 

tha ga pa 	weaver
tha chungs 	1) the youngest; 2) youngest
